CustomerOrderItemID,CustomerOrderID,ProductID,Quantity,SpecialInstructions
1,1,27,2,
2,2,38,2,
3,2,2,2,
4,2,37,2,Figlio storia bisogno.
5,2,25,2,
6,3,28,2,
7,3,32,3,
8,3,2,3,
9,4,38,3,
10,4,37,2,
11,4,2,2,
12,4,6,1,
13,5,17,3,
14,5,6,2,
15,5,31,1,
16,5,2,3,
17,6,10,3,Albero ricordare personale coscienza.
18,6,16,2,
19,6,9,2,
20,6,31,3,Contare dove famoso inutile.
21,6,8,3,
22,7,37,3,
23,7,25,3,
24,7,26,3,
25,8,37,1,
26,9,1,1,
27,9,27,2,
28,9,32,2,
29,10,40,2,
30,10,35,3,
31,10,31,2,Donna ciò calcio.
32,11,40,2,
33,11,25,1,
34,11,22,2,
35,11,2,3,
36,11,32,2,
37,12,36,2,
38,12,16,1,
39,12,31,2,
40,12,32,2,
41,13,36,2,
42,13,22,1,
43,13,23,1,
44,13,30,3,
45,14,38,2,Nome bisognare nascondere neanche domenica tuo.
46,14,34,1,
47,14,39,2,
48,15,36,2,
49,16,37,2,
50,17,31,2,
51,17,8,3,
52,17,5,1,
53,18,36,2,
54,19,29,2,
55,19,20,1,
56,19,38,3,
57,19,28,1,
58,20,5,3,
59,20,11,2,
60,20,1,2,
61,20,27,3,O compiere estremo strano.
62,20,29,1,
63,21,28,3,
64,21,8,1,Invitare carta lingua povero braccio armare.
65,22,37,3,
66,22,19,2,Governo pronto strada perché prima.
67,22,29,3,
68,22,8,2,
69,22,30,1,Partire età segno provocare possibile.
70,23,38,1,
71,23,2,3,
72,23,18,2,
73,23,37,3,
74,23,3,2,Autorità termine rifiutare notte basso scendere.
75,24,11,2,
76,25,3,2,
77,25,30,2,Bello estero piangere rimettere linea.
78,25,6,1,
79,25,21,3,
80,25,17,1,
81,26,4,1,Chiaro studiare disposizione fumare.
82,26,14,2,Produrre porre rosso stanco.
83,26,18,2,
84,26,36,3,
85,27,27,1,
86,27,6,1,
87,27,15,3,
88,27,8,3,
89,27,30,2,Maggiore attaccare cadere lungo smettere.
90,28,33,2,Ringraziare pagare caratteristico bisogno.
91,28,9,3,
92,28,5,1,
